JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompteAuxNum|CompteAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|MontantDevise|Idevise
AN|A Nouveaux|EC000001|20250101|211000|Terrains|||OD000000|20250101|A nouveau - Terrains|75000,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|215000|Installations techniques|||OD000000|20250101|A nouveau - Installations techniques|45000,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|218300|Matériel de bureau|||OD000000|20250101|A nouveau - Matériel de bureau|12000,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|218400|Matériel informatique|||OD000000|20250101|A nouveau - Matériel informatique|85000,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|310000|Stocks de matières|||OD000000|20250101|A nouveau - Stocks matières|8500,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|411001|Clients - ACME Corp|ACME01|ACME Corp|OD000000|20250101|A nouveau - Client ACME Corp|28000,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|411002|Clients - BioTech SA|BIOT01|BioTech SA|OD000000|20250101|A nouveau - Client BioTech SA|15600,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|411003|Clients - MétalPro|META01|MétalPro|OD000000|20250101|A nouveau - Client MétalPro|9800,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|512000|Banque Société Générale|||OD000000|20250101|A nouveau - Banque|42350,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|530000|Caisse|||OD000000|20250101|A nouveau - Caisse|1200,00|0,00|||20250101||
AN|A Nouveaux|EC000001|20250101|281500|Amort. installations techniques|||OD000000|20250101|A nouveau - Amort. installations|0,00|18000,00|||20250101||
AN|A Nouveaux|EC000001|20250101|281830|Amort. matériel de bureau|||OD000000|20250101|A nouveau - Amort. matériel bureau|0,00|4800,00|||20250101||
AN|A Nouveaux|EC000001|20250101|281840|Amort. matériel informatique|||OD000000|20250101|A nouveau - Amort. matériel info|0,00|34000,00|||20250101||
AN|A Nouveaux|EC000001|20250101|101000|Capital social|||OD000000|20250101|A nouveau - Capital social|0,00|100000,00|||20250101||
AN|A Nouveaux|EC000001|20250101|106000|Réserves|||OD000000|20250101|A nouveau - Réserves|0,00|35000,00|||20250101||
AN|A Nouveaux|EC000001|20250101|110000|Report à nouveau|||OD000000|20250101|A nouveau - Report à nouveau|0,00|25250,00|||20250101||
AN|A Nouveaux|EC000001|20250101|164000|Emprunt bancaire|||OD000000|20250101|A nouveau - Emprunt bancaire|0,00|65000,00|||20250101||
AN|A Nouveaux|EC000001|20250101|401001|Fournisseurs - Informatique+|INFO01|Informatique+|OD000000|20250101|A nouveau - Fournisseur Informatique+|0,00|14200,00|||20250101||
AN|A Nouveaux|EC000001|20250101|401002|Fournisseurs - LogiServ|LOGI01|LogiServ|OD000000|20250101|A nouveau - Fournisseur LogiServ|0,00|8400,00|||20250101||
AN|A Nouveaux|EC000001|20250101|431000|Sécurité sociale|||OD000000|20250101|A nouveau - Sécurité sociale|0,00|12800,00|||20250101||
AN|A Nouveaux|EC000001|20250101|437000|Autres organismes sociaux|||OD000000|20250101|A nouveau - Autres organismes sociaux|0,00|5000,00|||20250101||
VE|Ventes|EC000002|20250105|411001|Clients - ACME Corp|ACME01|ACME Corp|FA000001|20250105|Mission conseil infrastructure ACME - Janvier|22200,00|0,00|AA001||20250105||
VE|Ventes|EC000002|20250105|706000|Prestations de services|||FA000001|20250105|Mission conseil infrastructure ACME - Janvier|0,00|18500,00|||20250105||
VE|Ventes|EC000002|20250105|445710|TVA collectée|||FA000001|20250105|Mission conseil infrastructure ACME - Janvier - TVA|0,00|3700,00|||20250105||
VE|Ventes|EC000003|20250112|411002|Clients - BioTech SA|BIOT01|BioTech SA|FA000002|20250112|Développement application BioTech - Janvier|15360,00|0,00|AA002||20250112||
VE|Ventes|EC000003|20250112|706000|Prestations de services|||FA000002|20250112|Développement application BioTech - Janvier|0,00|12800,00|||20250112||
