JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompteAuxNum|CompteAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|MontantDevise|Idevise
VE|Ventes|EC000001|20250115|411000|Clients|||FA000001|20250115|Facture vente 1/2025|39975,60|0,00|||20250115||
VE|Ventes|EC000001|20250115|706000|Prestations de services|||FA000001|20250115|Prestations 1/2025|0,00|33313,00|||20250115||
VE|Ventes|EC000001|20250115|445710|TVA collectée|||FA000001|20250115|TVA ventes 1/2025|0,00|6662,60|||20250115||
AC|Achats|EC000002|20250115|601000|Achats matières premières|||FA000002|20250115|Achats MP 1/2025|8764,00|0,00|||20250115||
AC|Achats|EC000002|20250115|445660|TVA déductible|||FA000002|20250115|TVA achats 1/2025|1752,80|0,00|||20250115||
AC|Achats|EC000002|20250115|401000|Fournisseurs|||FA000002|20250115|Fournisseur 1/2025|0,00|10516,80|||20250115||
AC|Achats|EC000003|20250115|613000|Locations|||FA000003|20250115|Loyer 1/2025|2500,00|0,00|||20250115||
AC|Achats|EC000003|20250115|401000|Fournisseurs|||FA000003|20250115|Loyer 1/2025|0,00|2500,00|||20250115||
AC|Achats|EC000004|20250115|616000|Assurances|||FA000004|20250115|Assurance 1/2025|500,00|0,00|||20250115||
AC|Achats|EC000004|20250115|401000|Fournisseurs|||FA000004|20250115|Assurance 1/2025|0,00|500,00|||20250115||
SA|Salaires|EC000005|20250128|641000|Rémunérations du personnel|||FA000005|20250128|Salaires 1/2025|12000,00|0,00|||20250128||
SA|Salaires|EC000005|20250128|645000|Charges sociales|||FA000005|20250128|Charges sociales 1/2025|5000,00|0,00|||20250128||
SA|Salaires|EC000005|20250128|421000|Personnel - rémunérations dues|||FA000005|20250128|Net à payer 1/2025|0,00|9500,00|||20250128||
SA|Salaires|EC000005|20250128|431000|Sécurité sociale|||FA000005|20250128|Cotisations 1/2025|0,00|7500,00|||20250128||
BQ|Banque|EC000006|20250128|512000|Banque|||FA000006|20250128|Encaissement clients 1/2025|38309,95|0,00|||20250128||
BQ|Banque|EC000006|20250128|411000|Clients|||FA000006|20250128|Encaissement 1/2025|0,00|38309,95|||20250128||
BQ|Banque|EC000007|20250128|401000|Fournisseurs|||FA000007|20250128|Paiement fourn 1/2025|13516,80|0,00|||20250128||
BQ|Banque|EC000007|20250128|512000|Banque|||FA000007|20250128|Paiement fourn 1/2025|0,00|13516,80|||20250128||
BQ|Banque|EC000008|20250128|421000|Personnel|||FA000008|20250128|Paiement salaires 1/2025|9500,00|0,00|||20250128||
BQ|Banque|EC000008|20250128|512000|Banque|||FA000008|20250128|Paiement salaires 1/2025|0,00|9500,00|||20250128||
VE|Ventes|EC000009|20250215|411000|Clients|||FA000009|20250215|Facture vente 2/2025|37969,20|0,00|||20250215||
VE|Ventes|EC000009|20250215|706000|Prestations de services|||FA000009|20250215|Prestations 2/2025|0,00|31641,00|||20250215||
VE|Ventes|EC000009|20250215|445710|TVA collectée|||FA000009|20250215|TVA ventes 2/2025|0,00|6328,20|||20250215||
VE|Ventes|EC000010|20250215|411000|Clients|||FA000010|20250215|Vente marchandises 2/2025|11240,40|0,00|||20250215||
VE|Ventes|EC000010|20250215|707000|Ventes de marchandises|||FA000010|20250215|Marchandises 2/2025|0,00|9367,00|||20250215||
VE|Ventes|EC000010|20250215|445710|TVA collectée|||FA000010|20250215|TVA marchandises 2/2025|0,00|1873,40|||20250215||
AC|Achats|EC000011|20250215|601000|Achats matières premières|||FA000011|20250215|Achats MP 2/2025|9185,00|0,00|||20250215||
AC|Achats|EC000011|20250215|445660|TVA déductible|||FA000011|20250215|TVA achats 2/2025|1837,00|0,00|||20250215||
AC|Achats|EC000011|20250215|401000|Fournisseurs|||FA000011|20250215|Fournisseur 2/2025|0,00|11022,00|||20250215||
AC|Achats|EC000012|20250215|607000|Achats de marchandises|||FA000012|20250215|Achats march 2/2025|6476,00|0,00|||20250215||
AC|Achats|EC000012|20250215|445660|TVA déductible|||FA000012|20250215|TVA march 2/2025|1295,20|0,00|||20250215||
AC|Achats|EC000012|20250215|401000|Fournisseurs|||FA000012|20250215|Fournisseur march 2/2025|0,00|7771,20|||20250215||
AC|Achats|EC000013|20250215|613000|Locations|||FA000013|20250215|Loyer 2/2025|2500,00|0,00|||20250215||
AC|Achats|EC000013|20250215|401000|Fournisseurs|||FA000013|20250215|Loyer 2/2025|0,00|2500,00|||20250215||
AC|Achats|EC000014|20250215|616000|Assurances|||FA000014|20250215|Assurance 2/2025|500,00|0,00|||20250215||
AC|Achats|EC000014|20250215|401000|Fournisseurs|||FA000014|20250215|Assurance 2/2025|0,00|500,00|||20250215||
SA|Salaires|EC000015|20250228|641000|Rémunérations du personnel|||FA000015|20250228|Salaires 2/2025|12000,00|0,00|||20250228||
SA|Salaires|EC000015|20250228|645000|Charges sociales|||FA000015|20250228|Charges sociales 2/2025|5000,00|0,00|||20250228||
SA|Salaires|EC000015|20250228|421000|Personnel - rémunérations dues|||FA000015|20250228|Net à payer 2/2025|0,00|9500,00|||20250228||
SA|Salaires|EC000015|20250228|431000|Sécurité sociale|||FA000015|20250228|Cotisations 2/2025|0,00|7500,00|||20250228||
BQ|Banque|EC000016|20250228|512000|Banque|||FA000016|20250228|Encaissement clients 2/2025|36387,15|0,00|||20250228||
BQ|Banque|EC000016|20250228|411000|Clients|||FA000016|20250228|Encaissement 2/2025|0,00|36387,15|||20250228||
BQ|Banque|EC000017|20250228|401000|Fournisseurs|||FA000017|20250228|Paiement fourn 2/2025|14022,00|0,00|||20250228||
BQ|Banque|EC000017|20250228|512000|Banque|||FA000017|20250228|Paiement fourn 2/2025|0,00|14022,00|||20250228||
BQ|Banque|EC000018|20250228|421000|Personnel|||FA000018|20250228|Paiement salaires 2/2025|9500,00|0,00|||20250228||
